"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "Y"
"66" 342 38 0 228 0 932 670 270 55.064311264
"67" 139.6 209.4 0 192 0 1047 806.9 360 44.698039604
"68" 332.5 142.5 0 228 0 932 594 7 30.275580636
"69" 190 190 0 228 0 932 670 28 40.856968808
"70" 485 0 0 146 0 1120 800 28 71.98818916
"71" 374 189.2 0 170.1 10.1 926.1 756.7 3 34.39795764
"72" 313.3 262.2 0 175.5 8.6 1046.9 611.8 3 28.79941252
"73" 425 106.3 0 153.5 16.5 852.1 887.1 3 33.39821744
"74" 425 106.3 0 151.4 18.6 936 803.7 3 36.3009114
"75" 375 93.8 0 126.6 23.4 852.1 992.6 3 28.99936056
"76" 475 118.8 0 181.1 8.9 852.1 781.5 3 37.79707432
"77" 469 117.2 0 137.8 32.2 852.1 840.5 3 40.1964508
"78" 425 106.3 0 153.5 16.5 852.1 887.1 3 33.39821744
"79" 388.6 97.1 0 157.9 12.1 852.1 925.7 3 28.096147
"80" 531.3 0 0 141.8 28.2 852.1 893.7 3 41.2996124
"81" 425 106.3 0 153.5 16.5 852.1 887.1 3 33.39821744
"82" 318.8 212.5 0 155.7 14.3 852.1 880.4 3 25.2003478
"83" 401.8 94.7 0 147.4 11.4 946.8 852.1 3 41.09966436
"84" 362.6 189 0 164.9 11.6 944.7 755.8 3 35.3011712
"85" 323.7 282.8 0 183.8 10.3 942.7 659.9 3 28.29609504
"86" 379.5 151.2 0 153.9 15.9 1134.3 605 3 28.59946448
"87" 362.6 189 0 164.9 11.6 944.7 755.8 3 35.3011712
"88" 286.3 200.9 0 144.7 11.2 1004.6 803.7 3 24.40055564
"89" 362.6 189 0 164.9 11.6 944.7 755.8 3 35.3011712
"90" 439 177 0 186 11.1 884.9 707.9 3 39.300132
"91" 389.9 189 0 145.9 22 944.7 755.8 3 40.59634688
"92" 362.6 189 0 164.9 11.6 944.7 755.8 3 35.3011712
"93" 337.9 189 0 174.9 9.5 944.7 755.8 3 24.0971862
"94" 374 189.2 0 170.1 10.1 926.1 756.7 7 46.20178676
"95" 313.3 262.2 0 175.5 8.6 1046.9 611.8 7 42.79577532
"96" 425 106.3 0 153.5 16.5 852.1 887.1 7 49.20100736
"97" 425 106.3 0 151.4 18.6 936 803.7 7 46.80163088
"98" 375 93.8 0 126.6 23.4 852.1 992.6 7 45.69846928
"99" 475 118.8 0 181.1 8.9 852.1 781.5 7 55.59934464
"100" 469 117.2 0 137.8 32.2 852.1 840.5 7 54.89607912
"101" 425 106.3 0 153.5 16.5 852.1 887.1 7 49.20100736
"102" 388.6 97.1 0 157.9 12.1 852.1 925.7 7 34.90127512
"103" 531.3 0 0 141.8 28.2 852.1 893.7 7 46.89815752
"104" 425 106.3 0 153.5 16.5 852.1 887.1 7 49.20100736
"105" 318.8 212.5 0 155.7 14.3 852.1 880.4 7 33.39821744
"106" 401.8 94.7 0 147.4 11.4 946.8 852.1 7 54.09628696
"107" 362.6 189 0 164.9 11.6 944.7 755.8 7 55.89581932
"108" 323.7 282.8 0 183.8 10.3 942.7 659.9 7 49.80085148
"109" 379.5 151.2 0 153.9 15.9 1134.3 605 7 47.09810556
"110" 362.6 189 0 164.9 11.6 944.7 755.8 7 55.89581932
"111" 286.3 200.9 0 144.7 11.2 1004.6 803.7 7 37.99702236
"112" 362.6 189 0 164.9 11.6 944.7 755.8 7 55.89581932
"113" 439 177 0 186 11.1 884.9 707.9 7 56.09576736
"114" 389.9 189 0 145.9 22 944.7 755.8 7 59.09498796
"115" 362.6 189 0 164.9 11.6 944.7 755.8 7 22.89749796
"116" 337.9 189 0 174.9 9.5 944.7 755.8 7 35.10122316
"117" 374 189.2 0 170.1 10.1 926.1 756.7 28 61.09446836
"118" 313.3 262.2 0 175.5 8.6 1046.9 611.8 28 59.79825348
"119" 425 106.3 0 153.5 16.5 852.1 887.1 28 60.2946762
"120" 425 106.3 0 151.4 18.6 936 803.7 28 61.79773388
"121" 375 93.8 0 126.6 23.4 852.1 992.6 28 56.69561148
"122" 475 118.8 0 181.1 8.9 852.1 781.5 28 68.29949256
"123" 469 117.2 0 137.8 32.2 852.1 840.5 28 66.89985628
"124" 425 106.3 0 153.5 16.5 852.1 887.1 28 60.2946762
"125" 388.6 97.1 0 157.9 12.1 852.1 925.7 28 50.69717028
"126" 531.3 0 0 141.8 28.2 852.1 893.7 28 56.3991368
"127" 425 106.3 0 153.5 16.5 852.1 887.1 28 60.2946762
"128" 318.8 212.5 0 155.7 14.3 852.1 880.4 28 55.49592324
"129" 401.8 94.7 0 147.4 11.4 946.8 852.1 28 68.4994406
"130" 362.6 189 0 164.9 11.6 944.7 755.8 28 71.29871316
"131" 323.7 282.8 0 183.8 10.3 942.7 659.9 28 74.69782984
"132" 379.5 151.2 0 153.9 15.9 1134.3 605 28 52.20022796
"133" 362.6 189 0 164.9 11.6 944.7 755.8 28 71.29871316
"134" 286.3 200.9 0 144.7 11.2 1004.6 803.7 28 67.69964844
"135" 362.6 189 0 164.9 11.6 944.7 755.8 28 71.29871316
"136" 439 177 0 186 11.1 884.9 707.9 28 65.99664272
"137" 389.9 189 0 145.9 22 944.7 755.8 28 74.4978818
"138" 362.6 189 0 164.9 11.6 944.7 755.8 28 71.29871316
"139" 337.9 189 0 174.9 9.5 944.7 755.8 28 49.89737812
"140" 374 189.2 0 170.1 10.1 926.1 756.7 56 63.3973182
"141" 313.3 262.2 0 175.5 8.6 1046.9 611.8 56 64.90037588
"142" 425 106.3 0 153.5 16.5 852.1 887.1 56 64.30053176
"143" 425 106.3 0 151.4 18.6 936 803.7 56 64.90037588
"144" 375 93.8 0 126.6 23.4 852.1 992.6 56 60.19814956
"145" 475 118.8 0 181.1 8.9 852.1 781.5 56 72.29845336
"146" 469 117.2 0 137.8 32.2 852.1 840.5 56 69.29923276
"147" 425 106.3 0 153.5 16.5 852.1 887.1 56 64.30053176
"148" 388.6 97.1 0 157.9 12.1 852.1 925.7 56 55.19944856
"149" 531.3 0 0 141.8 28.2 852.1 893.7 56 58.79851328
"150" 425 106.3 0 153.5 16.5 852.1 887.1 56 64.30053176
"151" 318.8 212.5 0 155.7 14.3 852.1 880.4 56 66.10006412
"152" 401.8 94.7 0 147.4 11.4 946.8 852.1 56 73.69808964
"153" 362.6 189 0 164.9 11.6 944.7 755.8 56 77.29715436
"154" 323.7 282.8 0 183.8 10.3 942.7 659.9 56 80.19984832
"155" 379.5 151.2 0 153.9 15.9 1134.3 605 56 54.89607912
"156" 362.6 189 0 164.9 11.6 944.7 755.8 56 77.29715436
"157" 286.3 200.9 0 144.7 11.2 1004.6 803.7 56 72.99482412
"158" 362.6 189 0 164.9 11.6 944.7 755.8 56 77.29715436
"159" 439 177 0 186 11.1 884.9 707.9 56 71.69860924
"160" 389.9 189 0 145.9 22 944.7 755.8 56 79.40005616
"161" 362.6 189 0 164.9 11.6 944.7 755.8 56 77.29715436
"162" 337.9 189 0 174.9 9.5 944.7 755.8 56 59.89478012
"163" 374 189.2 0 170.1 10.1 926.1 756.7 91 64.90037588
"164" 313.3 262.2 0 175.5 8.6 1046.9 611.8 91 66.59648684
"165" 425 106.3 0 153.5 16.5 852.1 887.1 91 65.19685056
"166" 425 106.3 0 151.4 18.6 936 803.7 91 66.69990824
"167" 375 93.8 0 126.6 23.4 852.1 992.6 91 62.5009994
"168" 475 118.8 0 181.1 8.9 852.1 781.5 91 74.19451236
"169" 469 117.2 0 137.8 32.2 852.1 840.5 91 70.69886904
"170" 425 106.3 0 153.5 16.5 852.1 887.1 91 65.19685056
"171" 388.6 97.1 0 157.9 12.1 852.1 925.7 91 57.59882504
"172" 531.3 0 0 141.8 28.2 852.1 893.7 91 59.19840936
"173" 425 106.3 0 153.5 16.5 852.1 887.1 91 65.19685056
"174" 318.8 212.5 0 155.7 14.3 852.1 880.4 91 68.09954452
"175" 401.8 94.7 0 147.4 11.4 946.8 852.1 91 75.497622
"176" 362.6 189 0 164.9 11.6 944.7 755.8 91 79.29663476
"177" 379.5 151.2 0 153.9 15.9 1134.3 605 91 56.49566344
"178" 362.6 189 0 164.9 11.6 944.7 755.8 91 79.29663476
"179" 286.3 200.9 0 144.7 11.2 1004.6 803.7 91 76.80073164
"180" 362.6 189 0 164.9 11.6 944.7 755.8 91 79.29663476
"181" 439 177 0 186 11.1 884.9 707.9 91 73.29819356
"182" 389.9 189 0 145.9 22 944.7 755.8 91 82.5992248
"183" 362.6 189 0 164.9 11.6 944.7 755.8 91 79.29663476
"184" 337.9 189 0 174.9 9.5 944.7 755.8 91 67.79617508
"185" 222.36 0 96.67 189.29 4.46 967.08 870.32 3 11.57630204
"186" 222.36 0 96.67 189.29 4.46 967.08 870.32 14 24.44881896
"187" 222.36 0 96.67 189.29 4.46 967.08 870.32 28 24.8900836
"188" 222.36 0 96.67 189.29 4.46 967.08 870.32 56 29.44751996
"189" 222.36 0 96.67 189.29 4.46 967.08 870.32 100 40.7135578
"190" 233.81 0 94.58 197.89 4.567 947.04 852.16 3 10.38350856
"191" 233.81 0 94.58 197.89 4.567 947.04 852.16 14 22.13907436
"192" 233.81 0 94.58 197.89 4.567 947.04 852.16 28 22.83544512
"193" 233.81 0 94.58 197.89 4.567 947.04 852.16 56 27.66177712
"194" 233.81 0 94.58 197.89 4.567 947.04 852.16 100 34.55653712
"195" 194.68 0 100.52 165.62 7.48 1006.4 905.9 3 12.45193656
"196" 194.68 0 100.52 165.62 7.48 1006.4 905.9 14 24.98661024
"197" 194.68 0 100.52 165.62 7.48 1006.4 905.9 28 25.72434956
"198" 194.68 0 100.52 165.62 7.48 1006.4 905.9 56 33.96358776
"199" 194.68 0 100.52 165.62 7.48 1006.4 905.9 100 37.34202016
"200" 190.68 0 125.4 162.14 7.77 1090 804.01 3 15.04436632
"201" 190.68 0 125.4 162.14 7.77 1090 804.01 14 21.0634918
"202" 190.68 0 125.4 162.14 7.77 1090 804.01 28 26.40003604
"203" 190.68 0 125.4 162.14 7.77 1090 804.01 56 35.34253976
"204" 190.68 0 125.4 162.14 7.77 1090 804.01 100 40.56876784
"205" 212.07 0 121.62 180.31 5.69 1057.6 779.32 3 12.47262084
"206" 212.07 0 121.62 180.31 5.69 1057.6 779.32 14 20.91870184
"207" 212.07 0 121.62 180.31 5.69 1057.6 779.32 28 24.90387312
"208" 212.07 0 121.62 180.31 5.69 1057.6 779.32 56 34.20490436
"209" 212.07 0 121.62 180.31 5.69 1057.6 779.32 100 39.6103962
"210" 229.97 0 118.31 195.47 4.63 1029.4 758.59 3 10.0318758
"211" 229.97 0 118.31 195.47 4.63 1029.4 758.59 14 20.08443588
"212" 229.97 0 118.31 195.47 4.63 1029.4 758.59 28 24.48329276
"213" 229.97 0 118.31 195.47 4.63 1029.4 758.59 56 31.53663224
"214" 229.97 0 118.31 195.47 4.63 1029.4 758.59 100 35.34253976
"215" 190.34 0 125.18 161.85 9.88 1088.1 802.59 3 9.4458212
"216" 190.34 0 125.18 161.85 9.88 1088.1 802.59 14 22.7182342
"217" 190.34 0 125.18 161.85 9.88 1088.1 802.59 28 28.46846404
"218" 190.34 0 125.18 161.85 9.88 1088.1 802.59 56 38.56239268
"219" 190.34 0 125.18 161.85 9.88 1088.1 802.59 100 40.38950408
"220" 166.09 0 163.27 176.46 4.49 1058.6 780.09 3 10.76272036
"221" 166.09 0 163.27 176.46 4.49 1058.6 780.09 14 25.48303296
"222" 166.09 0 163.27 176.46 4.49 1058.6 780.09 28 21.53923024
"223" 166.09 0 163.27 176.46 4.49 1058.6 780.09 56 28.62704352
"224" 166.09 0 163.27 176.46 4.49 1058.6 780.09 100 33.5430074
"225" 167.95 42.08 163.83 121.75 5.72 1058.7 780.11 3 7.74971024
"226" 167.95 42.08 163.83 121.75 5.72 1058.7 780.11 14 17.8229546
"227" 167.95 42.08 163.83 121.75 5.72 1058.7 780.11 28 24.24197616
"228" 167.95 42.08 163.83 121.75 5.72 1058.7 780.11 56 32.8535314
"229" 167.95 42.08 163.83 121.75 5.72 1058.7 780.11 100 39.2311844
"230" 213.72 98.05 24.51 181.71 6.86 1065.8 785.38 3 17.9953236
"231" 213.72 98.05 24.51 181.71 6.86 1065.8 785.38 14 30.38520732
"232" 213.72 98.05 24.51 181.71 6.86 1065.8 785.38 28 45.70536404
"233" 213.72 98.05 24.51 181.71 6.86 1065.8 785.38 56 50.77301264
"234" 213.72 98.05 24.51 181.71 6.86 1065.8 785.38 100 53.90323368
"235" 213.76 98.06 24.52 181.74 6.65 1066 785.52 3 13.18278112
"236" 213.76 98.06 24.52 181.74 6.65 1066 785.52 14 17.83674412
"237" 213.76 98.06 24.52 181.74 6.65 1066 785.52 28 40.2309246
"238" 213.76 98.06 24.52 181.74 6.65 1066 785.52 56 47.13257936
"239" 213.76 98.06 24.52 181.74 6.65 1066 785.52 100 49.97322048
"240" 229.68 0 118.16 195.23 6.13 1028.1 757.63 3 13.35515012
"241" 229.68 0 118.16 195.23 6.13 1028.1 757.63 14 22.31833812
"242" 229.68 0 118.16 195.23 6.13 1028.1 757.63 28 24.53845084
"243" 229.68 0 118.16 195.23 6.13 1028.1 757.63 56 31.35047372
"244" 229.68 0 118.16 195.23 6.13 1028.1 757.63 100 40.85834776
"245" 238.05 0 94.11 186.66 7 949.91 847.01 3 19.93275116
"246" 238.05 0 94.11 186.66 7 949.91 847.01 14 25.68987576
"247" 238.05 0 94.11 186.66 7 949.91 847.01 28 30.2335226
"248" 238.05 0 94.11 186.66 7 949.91 847.01 56 39.58971192
"249" 238.05 0 94.11 186.66 7 949.91 847.01 100 44.298833
"250" 250 0 95.69 187.42 5.53 956.86 861.17 3 13.81709904
"251" 250 0 95.69 187.42 5.53 956.86 861.17 14 24.91766264
"252" 250 0 95.69 187.42 5.53 956.86 861.17 28 29.21999288
"253" 250 0 95.69 187.42 5.53 956.86 861.17 56 38.32797084
"254" 250 0 95.69 187.42 5.53 956.86 861.17 100 42.34761592
"255" 212.52 0 100.37 159.32 8.71 1007.8 903.59 3 13.54130864
"256" 212.52 0 100.37 159.32 8.71 1007.8 903.59 14 26.31040416
"257" 212.52 0 100.37 159.32 8.71 1007.8 903.59 28 31.64005364
"258" 212.52 0 100.37 159.32 8.71 1007.8 903.59 56 42.54756396
"259" 212.52 0 100.37 159.32 8.71 1007.8 903.59 100 42.919881
"260" 212.57 0 100.39 159.35 10.37 1003.8 903.79 3 13.33446584
"261" 212.57 0 100.39 159.35 10.37 1003.8 903.79 14 25.3727168
"262" 212.57 0 100.39 159.35 10.37 1003.8 903.79 28 37.404073
"263" 212.57 0 100.39 159.35 10.37 1003.8 903.79 56 44.39535964
"264" 212.57 0 100.39 159.35 10.37 1003.8 903.79 100 47.73931824
"265" 212 0 124.78 159 7.84 1085.4 799.54 3 19.51906556
"266" 212 0 124.78 159 7.84 1085.4 799.54 14 31.35047372
"267" 212 0 124.78 159 7.84 1085.4 799.54 28 38.50033984
"268" 212 0 124.78 159 7.84 1085.4 799.54 56 45.08483564
"269" 212 0 124.78 159 7.84 1085.4 799.54 100 47.8151606
"270" 231.75 0 121.62 173.96 6.72 1056.4 778.45 3 15.43736764
"271" 231.75 0 121.62 173.96 6.72 1056.4 778.45 14 26.77235308
"272" 231.75 0 121.62 173.96 6.72 1056.4 778.45 28 33.72916592
"273" 231.75 0 121.62 173.96 6.72 1056.4 778.45 56 42.69924868
"274" 231.75 0 121.62 173.96 6.72 1056.4 778.45 100 45.83636448
"275" 251.37 0 118.27 188.45 5.75 1028.4 757.73 3 17.22311048
"276" 251.37 0 118.27 188.45 5.75 1028.4 757.73 14 29.93015316
"277" 251.37 0 118.27 188.45 5.75 1028.4 757.73 28 29.65436276
"278" 251.37 0 118.27 188.45 5.75 1028.4 757.73 56 36.96970312
"279" 251.37 0 118.27 188.45 5.75 1028.4 757.73 100 43.58177796
"280" 251.37 0 118.27 188.45 6.35 1028.4 757.73 3 13.12072828
"281" 251.37 0 118.27 188.45 6.35 1028.4 757.73 14 24.42813468
"282" 251.37 0 118.27 188.45 6.35 1028.4 757.73 28 32.66047812
"283" 251.37 0 118.27 188.45 6.35 1028.4 757.73 56 36.63875464
"284" 251.37 0 118.27 188.45 6.35 1028.4 757.73 100 44.20920112
"285" 181.38 0 167.01 169.59 7.56 1055.6 777.8 3 13.62404576
"286" 181.38 0 167.01 169.59 7.56 1055.6 777.8 14 21.60128308
"287" 181.38 0 167.01 169.59 7.56 1055.6 777.8 28 27.77209328
"288" 181.38 0 167.01 169.59 7.56 1055.6 777.8 56 35.57006684
"289" 181.38 0 167.01 169.59 7.56 1055.6 777.8 100 45.3675208
"290" 182.04 45.21 121.97 170.21 8.19 1059.4 780.65 3 7.31534036
"291" 182.04 45.21 121.97 170.21 8.19 1059.4 780.65 14 21.50475644
"292" 182.04 45.21 121.97 170.21 8.19 1059.4 780.65 28 31.2677366
"293" 182.04 45.21 121.97 170.21 8.19 1059.4 780.65 56 43.49904084
"294" 182.04 45.21 121.97 170.21 8.19 1059.4 780.65 100 48.67011084
"295" 168.88 42.22 124.25 158.33 10.83 1080.8 796.15 3 7.39807748
"296" 168.88 42.22 124.25 158.33 10.83 1080.8 796.15 14 23.5111316
"297" 168.88 42.22 124.25 158.33 10.83 1080.8 796.15 28 31.11605188
"298" 168.88 42.22 124.25 158.33 10.83 1080.8 796.15 56 39.14844728
"299" 168.88 42.22 124.25 158.33 10.83 1080.8 796.15 100 48.15300384
"300" 290.35 0 96.18 168.08 9.41 961.18 865 3 22.50449664
"301" 290.35 0 96.18 168.08 9.41 961.18 865 14 34.67374804
"302" 290.35 0 96.18 168.08 9.41 961.18 865 28 34.73580088
"303" 290.35 0 96.18 168.08 9.41 961.18 865 56 45.08483564
"304" 290.35 0 96.18 168.08 9.41 961.18 865 100 48.97348028
"305" 277.05 0 97.39 160.6 11.83 973.9 875.61 3 23.13881456
"306" 277.05 0 97.39 160.6 11.83 973.9 875.61 14 41.885667
"307" 277.05 0 97.39 160.6 11.83 973.9 875.61 28 48.28400428
"308" 277.05 0 97.39 160.6 11.83 973.9 875.61 56 51.03501352
"309" 277.05 0 97.39 160.6 11.83 973.9 875.61 100 55.6407132
"310" 295.71 0 95.64 171.54 8.87 955.14 859.2 3 22.94576128
"311" 295.71 0 95.64 171.54 8.87 955.14 859.2 14 35.2322236
"312" 295.71 0 95.64 171.54 8.87 955.14 859.2 28 39.94134468
"313" 295.71 0 95.64 171.54 8.87 955.14 859.2 56 48.71837416
"314" 295.71 0 95.64 171.54 8.87 955.14 859.2 100 52.04164848
"315" 251.81 0 99.94 146.14 12.35 1006 899.76 3 21.02212324
"316" 251.81 0 99.94 146.14 12.35 1006 899.76 14 33.35684888
"317" 251.81 0 99.94 146.14 12.35 1006 899.76 28 33.94290348
"318" 251.81 0 99.94 146.14 12.35 1006 899.76 56 44.14025352
"319" 251.81 0 99.94 146.14 12.35 1006 899.76 100 45.3675208
"320" 249.1 0 98.75 158.11 12.8 987.76 889.01 3 15.36152528
"321" 249.1 0 98.75 158.11 12.8 987.76 889.01 14 28.6822016
"322" 249.1 0 98.75 158.11 12.8 987.76 889.01 28 30.84715624
"323" 249.1 0 98.75 158.11 12.8 987.76 889.01 56 42.03045696
"324" 249.1 0 98.75 158.11 12.8 987.76 889.01 100 51.0556978
"325" 252.31 0 98.75 146.25 14.17 987.76 889.01 3 21.78054684
"326" 252.31 0 98.75 146.25 14.17 987.76 889.01 14 42.29245784
"327" 252.31 0 98.75 146.25 14.17 987.76 889.01 28 50.60064364
"328" 252.31 0 98.75 146.25 14.17 987.76 889.01 56 55.82687172
"329" 252.31 0 98.75 146.25 14.17 987.76 889.01 100 60.9496784
"330" 246.83 0 125.08 143.3 11.99 1086.8 800.89 3 23.52492112
"331" 246.83 0 125.08 143.3 11.99 1086.8 800.89 14 42.21661548
"332" 246.83 0 125.08 143.3 11.99 1086.8 800.89 28 52.5035974
"333" 246.83 0 125.08 143.3 11.99 1086.8 800.89 56 60.32225524
"334" 246.83 0 125.08 143.3 11.99 1086.8 800.89 100 66.42411784
"335" 275.07 0 121.35 159.48 9.9 1053.6 777.5 3 23.80071152
"336" 275.07 0 121.35 159.48 9.9 1053.6 777.5 14 38.76923548
"337" 275.07 0 121.35 159.48 9.9 1053.6 777.5 28 51.3314882
"338" 275.07 0 121.35 159.48 9.9 1053.6 777.5 56 56.8472962
"339" 275.07 0 121.35 159.48 9.9 1053.6 777.5 100 58.60546
"340" 297.16 0 117.54 174.8 9.52 1022.8 753.45 3 21.91154728
"341" 297.16 0 117.54 174.8 9.52 1022.8 753.45 14 36.9903874
"342" 297.16 0 117.54 174.8 9.52 1022.8 753.45 28 47.401475
"343" 297.16 0 117.54 174.8 9.52 1022.8 753.45 56 51.95891136
"344" 297.16 0 117.54 174.8 9.52 1022.8 753.45 100 56.7438748
"345" 213.74 0 174.74 154.79 10.16 1053.5 776.35 3 17.57474324
"346" 213.74 0 174.74 154.79 10.16 1053.5 776.35 14 33.72916592
"347" 213.74 0 174.74 154.79 10.16 1053.5 776.35 28 40.14818748
"348" 213.74 0 174.74 154.79 10.16 1053.5 776.35 56 46.6430514
"349" 213.74 0 174.74 154.79 10.16 1053.5 776.35 100 50.07664188
"350" 213.5 0 174.24 154.61 11.66 1052.3 775.48 3 17.36790044
"351" 213.5 0 174.24 154.61 11.66 1052.3 775.48 14 33.70158688
"352" 213.5 0 174.24 154.61 11.66 1052.3 775.48 28 45.93978588
"353" 213.5 0 174.24 154.61 11.66 1052.3 775.48 56 51.4349096
"354" 213.5 0 174.24 154.61 11.66 1052.3 775.48 100 59.30183076
"355" 277.19 97.82 24.46 160.7 11.19 1061.7 782.46 3 30.44726016
"356" 277.19 97.82 24.46 160.7 11.19 1061.7 782.46 14 47.7117392
"357" 277.19 97.82 24.46 160.7 11.19 1061.7 782.46 28 63.14221208
"358" 277.19 97.82 24.46 160.7 11.19 1061.7 782.46 56 66.82401392
"359" 277.19 97.82 24.46 160.7 11.19 1061.7 782.46 100 66.9481196
"360" 218.23 54.64 123.78 140.75 11.91 1075.7 792.67 3 27.42046052
"361" 218.23 54.64 123.78 140.75 11.91 1075.7 792.67 14 35.9561734
"362" 218.23 54.64 123.78 140.75 11.91 1075.7 792.67 28 55.50971276
"363" 218.23 54.64 123.78 140.75 11.91 1075.7 792.67 56 61.99078716
"364" 218.23 54.64 123.78 140.75 11.91 1075.7 792.67 100 63.52831864
"365" 214.9 53.8 121.89 155.63 9.61 1014.3 780.58 3 18.01600788
"366" 214.9 53.8 121.89 155.63 9.61 1014.3 780.58 14 38.60376124
"367" 214.9 53.8 121.89 155.63 9.61 1014.3 780.58 28 52.20022796
"368" 214.9 53.8 121.89 155.63 9.61 1014.3 780.58 56 53.95839176
"369" 214.9 53.8 121.89 155.63 9.61 1014.3 780.58 100 56.63355864
"370" 218.85 0 124.13 158.49 11.33 1078.7 794.91 3 15.340841
"371" 218.85 0 124.13 158.49 11.33 1078.7 794.91 14 26.04840328
"372" 218.85 0 124.13 158.49 11.33 1078.7 794.91 28 30.21973308
"373" 218.85 0 124.13 158.49 11.33 1078.7 794.91 56 37.2661778
"374" 218.85 0 124.13 158.49 11.33 1078.7 794.91 100 46.2293658
"375" 376 0 0 214.6 0 1003.5 762.36 3 16.27852836
"376" 376 0 0 214.6 0 1003.5 762.36 14 25.62092816
"377" 376 0 0 214.6 0 1003.5 762.36 28 31.97100212
"378" 376 0 0 214.6 0 1003.5 762.36 56 36.3009114
"379" 376 0 0 214.6 0 1003.5 762.36 100 43.0577762
"380" 500 0 0 140 4 966 853 28 67.568648
"381" 475 0 59 142 1.9 1098 641 28 57.226508
"382" 315 137 0 145 5.9 1130 745 28 81.75116932
"383" 505 0 60 195 0 1030 630 28 64.0178466
"384" 451 0 0 165 11.25 1030 745 28 78.80021204
"385" 516 0 0 162 8.2 801 802 28 41.36856
"386" 520 0 0 170 5.2 855 855 28 60.28088668
"387" 528 0 0 185 6.86 920 720 28 56.83350668
"388" 520 0 0 175 5.2 870 805 28 51.021224
"389" 385 0 136 158 20 903 768 28 55.55108132
